from,to,amount,Year,Region,Product
SYNNEX AUSTRALIA_PTY LTD,Cdma Australia Pty Ltd,61.83221476510067,2024,AUSNZ,DT CPU
ASBISC ENTERPRISES PLC,Alfatron Electronic Industries,55.910714285714285,2024,META,DT CPU
ASBISC ENTERPRISES PLC,Data Business And Marketing Ma,91.0,2024,META,DT CPU
ASBISC ENTERPRISES PLC,Klc Group Ltd,48.104166666666664,2024,META,DT CPU
ASBISC ENTERPRISES PLC,Virtual Reality Solutions Co,36.07396593673966,2024,META,DT CPU
Penta Teknoloji Urunleri Dagitim Ticaret,Casper Bilgisayar Sistemleri A,76.9392523364486,2024,META,DT CPU
Penta Teknoloji Urunleri Dagitim Ticaret,Casper Paz Ic Ve Dis Tic A.s,107.5,2024,META,DT CPU
Penta Teknoloji Urunleri Dagitim Ticaret,Incehesap Sanal Mag.tic.a.s,80.64516129032258,2024,META,DT CPU
Penta Teknoloji Urunleri Dagitim Ticaret,Technopc Teknoloji Sanayi Ve T,42.112103980503655,2024,META,DT CPU
Rectron PTY Ltd,Mustek Ltd,18.497109826589597,2024,META,DT CPU
WORLD PEACE INDUSTRIAL CO.LTD,Wistron,4910.753105590062,2024,Taiwan,Server CPU
SERTEK  INCORPORATED,Sintrones Technology Corp.,11.190582959641256,2024,Taiwan,DT CPU
SYNNEX TECHNOLOGY INT'L CORP,Bcm Computer Co.,2.900516351118761,2024,Taiwan,DT CPU
SYNNEX TECHNOLOGY INT'L CORP,"Elo Touch Solutions, Inc.",8.670046801872076,2024,Taiwan,DT CPU
SYNNEX TECHNOLOGY INT'L CORP,"Firich Enterprises Co., Ltd",32.84813664596273,2024,Taiwan,DT CPU
SYNNEX TECHNOLOGY INT'L CORP,"Lex Computech Co., Ltd.",76.06264185201998,2024,Taiwan,DT CPU
SYNNEX TECHNOLOGY INT'L CORP,拍檔科技股份有限公司,43.76732574395846,2024,Taiwan,DT CPU
WORLD PEACE INDUSTRIAL CO.LTD,Biostar Microtech Int'l Corp.,36.38478828917423,2024,Taiwan,DT CPU
WORLD PEACE INDUSTRIAL CO.LTD,Britemed,153.1219512195122,2024,Taiwan,DT CPU
WORLD PEACE INDUSTRIAL CO.LTD,Genuine C&c Inc.,28.265802092414997,2024,Taiwan,DT CPU
WORLD PEACE INDUSTRIAL CO.LTD,Prox System Co. Ltd,25.0,2024,Taiwan,DT CPU
WORLD PEACE INDUSTRIAL CO.LTD,Qnap,31.926605504587155,2024,Taiwan,DT CPU
WORLD PEACE INDUSTRIAL CO.LTD,Winncom Technologies Corp.,25.010873504893077,2024,Taiwan,DT CPU
WORLD PEACE INDUSTRIAL CO.LTD,浩鑫電腦股份有限公司,101.77255791349425,2024,Taiwan,DT CPU
WPG Electronics (SA) Pte.Ltd,光宸科技 Quanmax,26.116665266459435,2024,Taiwan,DT CPU
EASTRONICS,Universal Global Scientific Industr,5.0,2024,Taiwan,Emb POR
SERTEK  INCORPORATED,A-trust Computer Corp.,13.001410437235544,2024,Taiwan,Emb POR
SERTEK  INCORPORATED,Advantech,2.672221230588775,2024,Taiwan,Emb POR
SERTEK  INCORPORATED,Ennoconn,9.361492720935,2024,Taiwan,Emb POR
SERTEK  INCORPORATED,Jet Way,3.554724374387746,2024,Taiwan,Emb POR
SERTEK  INCORPORATED,Lanner Electronics Inc.,6.554050892073706,2024,Taiwan,Emb POR
SERTEK  INCORPORATED,U.s.i.,0.026343519494204427,2024,Taiwan,Emb POR
SERTEK  INCORPORATED,其陽,0.006734006734006734,2024,Taiwan,Emb POR
SERTEK  INCORPORATED,振樺電子股份有限公司,23.92828685258964,2024,Taiwan,Emb POR
SYNNEX TECHNOLOGY INT'L CORP,Mitac Computing Technology Corporation,3.1447674855382766,2024,Taiwan,Emb POR
SYNNEX TECHNOLOGY INT'L CORP,"Nexcom International Co., Ltd",4.39709635013919,2024,Taiwan,Emb POR
SYNNEX TECHNOLOGY INT'L CORP,凌華科技,0.847497731103332,2024,Taiwan,Emb POR
SYNNEX TECHNOLOGY INT'L CORP,拍檔科技股份有限公司,26.0,2024,Taiwan,Emb POR
SYNNEX TECHNOLOGY INT'L CORP,普安科技股份有限公司,39.0,2024,Taiwan,Emb POR
SYNNEX TECHNOLOGY INT'L CORP,欣揚電腦,9.0,2024,Taiwan,Emb POR
SYNNEX TECHNOLOGY INT'L CORP,艾訊,0.44389686450967786,2024,Taiwan,Emb POR
SYNNEX TECHNOLOGY INT'L CORP,飛捷科技,24.009603841536613,2024,Taiwan,Emb POR
WORLD PEACE INDUSTRIAL CO.LTD,Aaeon Technology Inc,1.3335036309893078,2024,Taiwan,Emb POR
WORLD PEACE INDUSTRIAL CO.LTD,Accton,9.650263370189341,2024,Taiwan,Emb POR
WORLD PEACE INDUSTRIAL CO.LTD,Aopen,13.532991672005124,2024,Taiwan,Emb POR
WORLD PEACE INDUSTRIAL CO.LTD,Avalue,7.689284043051006,2024,Taiwan,Emb POR
WORLD PEACE INDUSTRIAL CO.LTD,Biostar Microtech Int'l Corp.,26.0,2024,Taiwan,Emb POR
WORLD PEACE INDUSTRIAL CO.LTD,Caswell,0.18973594548551959,2024,Taiwan,Emb POR
WORLD PEACE INDUSTRIAL CO.LTD,Clientron Corp.,25.121800998194754,2024,Taiwan,Emb POR
WORLD PEACE INDUSTRIAL CO.LTD,Delta,3.637954179344908,2024,Taiwan,Emb POR
WORLD PEACE INDUSTRIAL CO.LTD,Ibase,4.1953159041394334,2024,Taiwan,Emb POR
WORLD PEACE INDUSTRIAL CO.LTD,Qnap,21.046515423535173,2024,Taiwan,Emb POR
WORLD PEACE INDUSTRIAL CO.LTD,"Senao Networks, Inc.",0.601555929352397,2024,Taiwan,Emb POR
WORLD PEACE INDUSTRIAL CO.LTD,Wnc,32.800345721694036,2024,Taiwan,Emb POR
WORLD PEACE INDUSTRIAL CO.LTD,南京資訊股份有限公司,3.4339622641509435,2024,Taiwan,Emb POR
WORLD PEACE INDUSTRIAL CO.LTD,友通資訊股份有限公司,0.0038638454461821527,2024,Taiwan,Emb POR
WORLD PEACE INDUSTRIAL CO.LTD,威強電工業電腦股份有限公司,0.9420384951881015,2024,Taiwan,Emb POR
WORLD PEACE INDUSTRIAL CO.LTD,宜鼎國際股份有限公司,2.113821138211382,2024,Taiwan,Emb POR
WORLD PEACE INDUSTRIAL CO.LTD,浩鑫電腦股份有限公司,26.0,2024,Taiwan,Emb POR
WORLD PEACE INDUSTRIAL CO.LTD,瑞傳科技公司,0.5825087775295245,2024,Taiwan,Emb POR
WORLD PEACE INDUSTRIAL CO.LTD,長豐企業有限公司,0.0824207140821561,2024,Taiwan,Emb POR
"WT MICROELECTRONICS CO., LTD.",Asrock Incorporation,10.616307260431288,2024,Taiwan,Emb POR
"WT MICROELECTRONICS CO., LTD.","Aten International Co., Ltd.",7.0,2024,Taiwan,Emb POR
"WT MICROELECTRONICS CO., LTD.","Giga Computing Technology Co.,ltd.",5.454395628225702,2024,Taiwan,Emb POR
"WT MICROELECTRONICS CO., LTD.",Synology Incorporated,19.551170339996585,2024,Taiwan,Emb POR
"WT MICROELECTRONICS CO., LTD.",微星科技,0.18368657675016056,2024,Taiwan,Emb POR
SERTEK  INCORPORATED,A-trust Computer Corp.,85.0,2024,Taiwan,NB CPU
SERTEK  INCORPORATED,Advantech,15.070703817039782,2024,Taiwan,NB CPU
SERTEK  INCORPORATED,Jet Way,43.98829201101928,2024,Taiwan,NB CPU
SERTEK  INCORPORATED,Moxa Inc.,3.3266832917705735,2024,Taiwan,NB CPU
SERTEK  INCORPORATED,光宸科技 Quanmax,20.85900681596884,2024,Taiwan,NB CPU
SERTEK  INCORPORATED,台灣康泰克股份有限公司,12.970166379804933,2024,Taiwan,NB CPU
SERTEK  INCORPORATED,振樺電子股份有限公司,107.53883106485188,2024,Taiwan,NB CPU
SYNNEX TECHNOLOGY INT'L CORP,Bcm Computer Co.,42.36842105263158,2024,Taiwan,NB CPU
SYNNEX TECHNOLOGY INT'L CORP,"Elo Touch Solutions, Inc.",92.37113402061856,2024,Taiwan,NB CPU
SYNNEX TECHNOLOGY INT'L CORP,"Lex Computech Co., Ltd.",16.732804232804234,2024,Taiwan,NB CPU
SYNNEX TECHNOLOGY INT'L CORP,"Nexcom International Co., Ltd",13.303747534516765,2024,Taiwan,NB CPU
SYNNEX TECHNOLOGY INT'L CORP,"Ubiqconn Technology, Inc.",26.621926910299003,2024,Taiwan,NB CPU
