from,to,amount,Year,Region,Product
SYNNEX AUSTRALIA_PTY LTD,Alphatech Pc Solutions,inf,2023,AUSNZ,DT CPU
SYNNEX AUSTRALIA_PTY LTD,Cdma Australia Pty Ltd,34.64771322620519,2023,AUSNZ,DT CPU
SYNNEX AUSTRALIA_PTY LTD,Computer Alliance Pty Ltd,0.7130434782608696,2023,AUSNZ,DT CPU
SYNNEX AUSTRALIA_PTY LTD,Computers & Parts Land Pty Ltd,1.26,2023,AUSNZ,DT CPU
SYNNEX AUSTRALIA_PTY LTD,Daitronics Technology Pty Ltd,20.5,2023,AUSNZ,DT CPU
SYNNEX AUSTRALIA_PTY LTD,Devhouse Studios Pty Ltd,inf,2023,AUSNZ,DT CPU
SYNNEX AUSTRALIA_PTY LTD,Esel Pty Ltd,0.23990637799882972,2023,AUSNZ,DT CPU
SYNNEX AUSTRALIA_PTY LTD,Leader Computers Pty Ltd,0.16489988221436985,2023,AUSNZ,DT CPU
SYNNEX AUSTRALIA_PTY LTD,Pc Case Gear Pty Ltd,0.4558011049723757,2023,AUSNZ,DT CPU
SYNNEX AUSTRALIA_PTY LTD,Ple Computers Gnangara,0.5043050430504306,2023,AUSNZ,DT CPU
SYNNEX AUSTRALIA_PTY LTD,Robyn's Mobile Computer Service,inf,2023,AUSNZ,DT CPU
SYNNEX AUSTRALIA_PTY LTD,Scorptec Computer,0.33480825958702065,2023,AUSNZ,DT CPU
Rutronik,Aselsan Elektronik San. Ve Tic A.s,878.3548387096774,2023,META,Server CPU
ASBISC ENTERPRISES PLC,Alfatron Electronic Industries,47.48057713651498,2023,META,DT CPU
ASBISC ENTERPRISES PLC,Data Business And Marketing Ma,53.26923076923077,2023,META,DT CPU
ASBISC ENTERPRISES PLC,Sarl King Line Computer (klc),26.0,2023,META,DT CPU
ASBISC ENTERPRISES PLC,Virtual Reality Solutions Co,24.325380145877116,2023,META,DT CPU
INDEKS INTERNATIONAL FZE,Casper Bilgisayar Sistemleri A,51.37766387914756,2023,META,DT CPU
INDEKS INTERNATIONAL FZE,Casper Bнlg.sнst.a.о.,26.0,2023,META,DT CPU
INDEKS INTERNATIONAL FZE,"Casper Pazarlama Ic Ve Dis Tic A,о,",75.95499134448933,2023,META,DT CPU
INDEKS INTERNATIONAL FZE,Casper Pazarlama Ic Ve Dis Tic A.þ.,67.88420530622365,2023,META,DT CPU
INDEKS INTERNATIONAL FZE,Oksid Bilisim Teknoloji Sanayi,1.8362068965517242,2023,META,DT CPU
Logicom Italia srl,Data Business And Marketing,116.0,2023,META,DT CPU
Metra Computer Group FZCO,Virtual Reality Solutions Co.,47.34982332155477,2023,META,DT CPU
Penta Teknoloji Urunleri Dagitim Ticaret,Casper Bilgisayar Sistemleri A,153.0,2023,META,DT CPU
Penta Teknoloji Urunleri Dagitim Ticaret,Eera Elekt. Tic. Ve Bil.hiz. Ltd St,22.92112711491289,2023,META,DT CPU
Penta Teknoloji Urunleri Dagitim Ticaret,Hizli Market Pazarlama Insaat,1.4172508381590978,2023,META,DT CPU
Penta Teknoloji Urunleri Dagitim Ticaret,Incehesap Sanal Mag.tic.a.s,13.492706645056726,2023,META,DT CPU
Penta Teknoloji Urunleri Dagitim Ticaret,Technopc Teknoloji Sanayi Ve T,166.3788081154996,2023,META,DT CPU
Arrow Central Europe GmbH,Arrow Elektronik Ticaret A.s.,605.5,2023,META,Emb POR
SERTEK  INCORPORATED,Advantech,33.47922388588642,2023,Taiwan,Server CPU
SERTEK  INCORPORATED,Lanner Electronics Inc.,1.0630162851073872,2023,Taiwan,Server CPU
SYNNEX TECHNOLOGY INT'L CORP,Mitac Computing Technology Corporation,93.71518987341773,2023,Taiwan,Server CPU
WORLD PEACE INDUSTRIAL CO.LTD,Wistron,2139.607943625881,2023,Taiwan,Server CPU
SERTEK  INCORPORATED,Jet Way,32.24864710908573,2023,Taiwan,DT CPU
SERTEK  INCORPORATED,Sintrones Technology Corp.,4.2493991989319095,2023,Taiwan,DT CPU
SYNNEX TECHNOLOGY INT'L CORP,Bcm Computer Co.,1.1473488320417744,2023,Taiwan,DT CPU
SYNNEX TECHNOLOGY INT'L CORP,"Elo Touch Solutions, Inc.",4.8205677557579,2023,Taiwan,DT CPU
SYNNEX TECHNOLOGY INT'L CORP,"Firich Enterprises Co., Ltd",0.6560962274466922,2023,Taiwan,DT CPU
SYNNEX TECHNOLOGY INT'L CORP,"Lex Computech Co., Ltd.",52.94368070953437,2023,Taiwan,DT CPU
SYNNEX TECHNOLOGY INT'L CORP,Liya Tech Corp.,31.871016122984628,2023,Taiwan,DT CPU
SYNNEX TECHNOLOGY INT'L CORP,"Nexcom International Co., Ltd",0.7591061452513966,2023,Taiwan,DT CPU
SYNNEX TECHNOLOGY INT'L CORP,拍檔科技股份有限公司,35.18236365584485,2023,Taiwan,DT CPU
SYNNEX TECHNOLOGY INT'L CORP,艾訊,3.827134896980692,2023,Taiwan,DT CPU
SYNNEX TECHNOLOGY INT'L CORPORATION,"Elitegroup Computer Systems Co.,ltd.",34.032277587250356,2023,Taiwan,DT CPU
WORLD PEACE INDUSTRIAL CO.LTD,"Asustor, Inc.",20.293938005802413,2023,Taiwan,DT CPU
WORLD PEACE INDUSTRIAL CO.LTD,Biostar Group,29.0,2023,Taiwan,DT CPU
WORLD PEACE INDUSTRIAL CO.LTD,Biostar Microtech Int'l Corp.,69.56006930478637,2023,Taiwan,DT CPU
WORLD PEACE INDUSTRIAL CO.LTD,Britemed,86.0605174840316,2023,Taiwan,DT CPU
WORLD PEACE INDUSTRIAL CO.LTD,Caswell,4.042711048726689,2023,Taiwan,DT CPU
WORLD PEACE INDUSTRIAL CO.LTD,Clientron Corp.,38.0,2023,Taiwan,DT CPU
WORLD PEACE INDUSTRIAL CO.LTD,Genuine C&c Inc.,34.088570255031556,2023,Taiwan,DT CPU
WORLD PEACE INDUSTRIAL CO.LTD,Prox System Co. Ltd,25.046335721084006,2023,Taiwan,DT CPU
WORLD PEACE INDUSTRIAL CO.LTD,Qnap,16.482635342185905,2023,Taiwan,DT CPU
WORLD PEACE INDUSTRIAL CO.LTD,Winncom Technologies Corp.,33.391796207373645,2023,Taiwan,DT CPU
WORLD PEACE INDUSTRIAL CO.LTD,南京資訊股份有限公司,56.40655602515205,2023,Taiwan,DT CPU
WORLD PEACE INDUSTRIAL CO.LTD,友通資訊股份有限公司,37.38604132901135,2023,Taiwan,DT CPU
WORLD PEACE INDUSTRIAL CO.LTD,浩鑫電腦股份有限公司,52.30350189933523,2023,Taiwan,DT CPU
"WT MICROELECTRONICS CO., LTD.","Esquiretech International Co.,ltd",106.18057921635435,2023,Taiwan,DT CPU
"WT MICROELECTRONICS CO., LTD.",Synology Incorporated,28.108076261400324,2023,Taiwan,DT CPU
SERTEK  INCORPORATED,A-trust Computer Corp.,1.1377358104931836,2023,Taiwan,Emb POR
SERTEK  INCORPORATED,Advantech,2.778728467123594,2023,Taiwan,Emb POR
