Name,anomalies,node_shape,Amount,Year,Region,Product,x,y
ASBISC ENTERPRISES PLC,0,star,24.761051,2023,META,DT CPU,0.3373626007443715,0.24510389761720083
Alfatron Electronic Industries,0,circle,18.558153,2023,META,DT CPU,0.5363512928938644,-0.22334129212326712
Data Business And Marketing Ma,0,circle,12.826037,2023,META,DT CPU,0.8057850955128779,0.4441453438823668
Sarl King Line Computer (klc),0,circle,10.786305,2023,META,DT CPU,0.13839409784170012,0.7135600981994321
Virtual Reality Solutions Co,0,circle,32.1785,2023,META,DT CPU,-0.1310879427013147,0.04609987851836794
INDEKS INTERNATIONAL FZE,0,star,19.207054,2023,META,DT CPU,-0.48041730686069173,0.30888765191075923
Casper Bilgisayar Sistemleri A,0,circle,16.703524,2023,META,DT CPU,-0.041920006745724964,1.796504759316434e-05
Casper Bнlg.sнst.a.о.,0,circle,10.0,2023,META,DT CPU,-0.22457968052770783,0.7822881591489156
"Casper Pazarlama Ic Ve Dis Tic A,о,",0,circle,17.472347,2023,META,DT CPU,-0.6983868804687672,0.7827238653633944
Casper Pazarlama Ic Ve Dis Tic A.þ.,0,circle,15.727854,2023,META,DT CPU,-1.0,0.35446281124771856
Oksid Bilisim Teknoloji Sanayi,0,circle,12.237491,2023,META,DT CPU,-0.8399405277652243,-0.09147588594859322
Logicom Italia srl,0,star,10.0,2023,META,DT CPU,-0.5106252517389321,-0.0013726715659678518
Data Business And Marketing,0,circle,12.134197,2023,META,DT CPU,-0.3012500427450618,-0.41230927834034686
Metra Computer Group FZCO,0,star,11.279847,2023,META,DT CPU,-0.41230673686406016,-0.3012529161740158
Virtual Reality Solutions Co.,0,circle,14.955571,2023,META,DT CPU,-0.0013719237327214394,-0.5106312054725071
Penta Teknoloji Urunleri Dagitim Ticaret,0,star,60.0,2023,META,DT CPU,0.39654478870171267,-0.30888767987826826
Eera Elekt. Tic. Ve Bil.hiz. Ltd St,0,circle,60.0,2023,META,DT CPU,0.14070432985139977,-0.7822913643184601
Hizli Market Pazarlama Insaat,0,circle,19.232056,2023,META,DT CPU,0.6145322432535126,-0.7827067280096592
Incehesap Sanal Mag.tic.a.s,0,circle,30.178583,2023,META,DT CPU,0.9161345575456511,-0.3544820145437997
Technopc Teknoloji Sanayi Ve T,0,circle,42.477028,2023,META,DT CPU,0.756077293805116,0.0914613654391367
SERTEK  INCORPORATED,0,star,12.643934,2023,Taiwan,DT CPU,0.47863155559957193,0.08356887081706775
Jet Way,0,circle,11.335852,2023,Taiwan,DT CPU,0.9567920059000492,-0.06742332672264738
Sintrones Technology Corp.,0,circle,17.506598,2023,Taiwan,DT CPU,0.018434834347096727,0.28267298173978106
SYNNEX TECHNOLOGY INT'L CORP,1,star,32.172283,2023,Taiwan,DT CPU,0.06597810173118536,0.43054501524327055
Bcm Computer Co.,0,circle,36.48426,2023,Taiwan,DT CPU,0.3678457448668394,-0.07286452043004274
"Elo Touch Solutions, Inc.",0,circle,14.414796,2023,Taiwan,DT CPU,0.6353985248782804,0.28810383203225576
"Firich Enterprises Co., Ltd",0,circle,12.146701,2023,Taiwan,DT CPU,0.5693321388971776,0.7324983662731481
"Lex Computech Co., Ltd.",0,circle,14.054729,2023,Taiwan,DT CPU,0.20839743191890142,1.0
Liya Tech Corp.,0,circle,13.835786,2023,Taiwan,DT CPU,-0.23588934907599432,0.933965325931928
"Nexcom International Co., Ltd",0,circle,31.725056,2023,Taiwan,DT CPU,-0.5034224896355198,0.5730831959401037
拍檔科技股份有限公司,0,circle,14.72128,2023,Taiwan,DT CPU,-0.43743912192542617,0.12871320202162867
艾訊,0,circle,14.529007,2023,Taiwan,DT CPU,-0.0765421954194145,-0.13886857781081183
SYNNEX TECHNOLOGY INT'L CORPORATION,0,star,10.0,2023,Taiwan,DT CPU,-0.26646666600384045,0.4907571652099194
"Elitegroup Computer Systems Co.,ltd.",0,circle,10.357703,2023,Taiwan,DT CPU,-0.5527376622078048,0.07939852447690664
WORLD PEACE INDUSTRIAL CO.LTD,1,star,60.0,2023,Taiwan,DT CPU,-0.18515154897414526,-0.29704674353229316
"Asustor, Inc.",0,circle,13.068666,2023,Taiwan,DT CPU,-0.07204215883614179,0.29528953181136475
Biostar Group,0,circle,17.794727,2023,Taiwan,DT CPU,-0.36051109427401706,0.28081176027702537
Biostar Microtech Int'l Corp.,0,circle,32.349686,2023,Taiwan,DT CPU,-0.608483649389676,0.13259359619510855
Britemed,0,circle,28.389763,2023,Taiwan,DT CPU,-0.7603014467916189,-0.11314961079390774
Caswell,0,circle,12.948919,2023,Taiwan,DT CPU,-0.7794161029662262,-0.40142518905004837
Clientron Corp.,0,circle,10.0,2023,Taiwan,DT CPU,-0.6628799540034401,-0.665589725068011
Genuine C&c Inc.,0,circle,28.783306,2023,Taiwan,DT CPU,-0.4370521230970819,-0.8457172064249865
Prox System Co. Ltd,0,circle,26.70246,2023,Taiwan,DT CPU,-0.1532362352523436,-0.8995655347473023
Qnap,0,circle,12.531595,2023,Taiwan,DT CPU,0.12322751383149372,-0.8159287664084417
Winncom Technologies Corp.,0,circle,15.139555,2023,Taiwan,DT CPU,0.3289155574621383,-0.6130913173194154
南京資訊股份有限公司,0,circle,15.411581,2023,Taiwan,DT CPU,0.41714937199272706,-0.3379874858089893
友通資訊股份有限公司,0,circle,19.688845,2023,Taiwan,DT CPU,0.36667586208235164,-0.0536474215322534
浩鑫電腦股份有限公司,0,circle,60.0,2023,Taiwan,DT CPU,0.19083898370125993,0.17559914279825714
"WT MICROELECTRONICS CO., LTD.",0,star,16.89866,2023,Taiwan,DT CPU,0.4405520273747932,-0.20485582540229552
"Esquiretech International Co.,ltd",0,circle,10.162006,2023,Taiwan,DT CPU,0.7467707649265388,-0.6019285582100681
Synology Incorporated,0,circle,32.798866,2023,Taiwan,DT CPU,0.17663137834228637,0.22148929849374882
SERTEK  INCORPORATED,1,star,54.173786,2023,Taiwan,Emb POR,0.3934889555203031,0.2963348385946923
A-trust Computer Corp.,0,circle,12.401623,2023,Taiwan,Emb POR,0.29447060893881455,-0.2117695583818117
Advantech,0,circle,60.0,2023,Taiwan,Emb POR,0.5665081767079685,-0.30518803767227354
Arbor,0,circle,10.781332,2023,Taiwan,Emb POR,0.807472180088911,-0.14289473286461465
"Cincoze Co., Ltd.",0,circle,11.458412,2023,Taiwan,Emb POR,0.9635687923204534,0.08911833140759384
Ennoconn,0,circle,13.231961,2023,Taiwan,Emb POR,0.9870132954513406,0.3697814680047976
Jet Way,0,circle,12.8739605,2023,Taiwan,Emb POR,0.8856496631026823,0.6328818251744666
