Name,anomalies,node_shape,Amount,Year,Region,Product,x,y
EASTRONICS,1,star,10.0,2024,Taiwan,Emb POR,0.5184662127776855,-0.21576125988790099
Universal Global Scientific Industr,1,circle,10.13365,2024,Taiwan,Emb POR,0.4841184516153682,0.2843126823240303
SERTEK  INCORPORATED,0,star,40.858162,2024,Taiwan,Emb POR,0.32245388827616145,0.3452963444437692
A-trust Computer Corp.,0,circle,13.515347,2024,Taiwan,Emb POR,0.2941187591620811,-0.24102888811319362
Advantech,0,circle,60.0,2024,Taiwan,Emb POR,0.7170750987057123,-0.08934836529690258
Ennoconn,0,circle,12.162703,2024,Taiwan,Emb POR,0.9088046701628262,0.31701150931719774
Jet Way,0,circle,14.420043,2024,Taiwan,Emb POR,0.7570436845884279,0.7399086162493098
Lanner Electronics Inc.,0,circle,27.648252,2024,Taiwan,Emb POR,0.3507942717274113,0.9316282026226608
U.s.i.,0,circle,11.801639,2024,Taiwan,Emb POR,-0.07212432229522313,0.7799454937222348
其陽,0,circle,11.631477,2024,Taiwan,Emb POR,-0.26392101360469306,0.37364139741818186
振樺電子股份有限公司,0,circle,14.39512,2024,Taiwan,Emb POR,-0.11215722575640753,-0.0492892357076527
SYNNEX TECHNOLOGY INT'L CORP,0,star,32.61534,2024,Taiwan,Emb POR,-0.21741159544137625,0.4195143763977652
Mitac Computing Technology Corporation,0,circle,15.543594,2024,Taiwan,Emb POR,0.3255717356582206,0.19646910501301998
"Nexcom International Co., Ltd",0,circle,20.01372,2024,Taiwan,Emb POR,0.3242867301210017,0.645798108646993
凌華科技,0,circle,28.240643,2024,Taiwan,Emb POR,0.005595003602162513,0.9625383613955181
拍檔科技股份有限公司,0,circle,10.161141,2024,Taiwan,Emb POR,-0.4437060447520363,0.9611579676764326
普安科技股份有限公司,0,circle,10.833593,2024,Taiwan,Emb POR,-0.7603993206135239,0.6425670931809734
欣揚電腦,0,circle,11.290786,2024,Taiwan,Emb POR,-0.7591003460247884,0.19327248364802552
艾訊,0,circle,25.69616,2024,Taiwan,Emb POR,-0.44048305880153754,-0.12351242614939925
飛捷科技,0,circle,20.905945,2024,Taiwan,Emb POR,0.008849765204233447,-0.12214068342045158
WORLD PEACE INDUSTRIAL CO.LTD,1,star,60.0,2024,Taiwan,Emb POR,-0.22814991079352726,-0.2797298125248953
Aaeon Technology Inc,0,circle,19.13741,2024,Taiwan,Emb POR,-0.037230763414862825,0.11425183711647867
Accton,0,circle,56.571438,2024,Taiwan,Emb POR,-0.09523619424987376,0.3810385678331599
Aopen,0,circle,11.11601,2024,Taiwan,Emb POR,-0.36022623720801983,0.34435733425018367
Avalue,0,circle,15.921687,2024,Taiwan,Emb POR,-0.5628506562903756,0.0022437192535635603
Biostar Microtech Int'l Corp.,0,circle,14.739372,2024,Taiwan,Emb POR,-0.6168637449738503,0.27034854945586156
Caswell,0,circle,16.856604,2024,Taiwan,Emb POR,-0.8361393210512775,0.010156410512820417
Clientron Corp.,0,circle,13.62258,2024,Taiwan,Emb POR,-0.8657239248545335,-0.25540995676823647
Delta,0,circle,13.402887,2024,Taiwan,Emb POR,-0.8567974963954154,-0.5229387043128005
