Name,anomalies,node_shape,Amount,Year,Region,Product,x,y
"Pci-suntek Technology Co., Ltd.",0,circle,13.922394,2022,PRC,DT CPU,0.0922591247499063,0.38423264328170204
"Shanghai Huaming Intelligent Terminal Equipment Co., Ltd.",0,circle,10.0,2022,PRC,DT CPU,0.05762842479445041,0.4118010642454472
"Shanghai Jinwang Electric Technology Co., Ltd.",0,circle,19.133312,2022,PRC,DT CPU,0.013682432808357665,0.3717107133390892
Shenyang Machine Tools,0,circle,12.461414,2022,PRC,DT CPU,0.014942278035286912,0.43265540265857017
"Shenzhen Ishine Intelligent Co., Ltd",0,circle,10.273264,2022,PRC,DT CPU,-0.05206624281879829,0.3924075561958853
"Shenzhen Runkong Intelligent Technology Co.,ltd",0,circle,14.539177,2022,PRC,DT CPU,-0.172974998239488,0.23585996572204626
Unknown,0,circle,15.611885,2022,PRC,DT CPU,0.03707171572301912,-0.08378985350222364
Wuhan Zhongxinyi Computer Co,0,circle,11.179476,2022,PRC,DT CPU,-0.030536453103068923,0.4465477588886969
Ztits,0,circle,10.0,2022,PRC,DT CPU,-0.0800115505701748,0.45007340897329423
上海余兴电脑,0,circle,10.059948,2022,PRC,DT CPU,-0.1284449041389591,0.3862227486862931
上海凌炬电子科技有限公司,0,circle,10.057957,2022,PRC,DT CPU,-0.24280256961916463,0.17924262106217326
上海天拓电脑科技有限公司,0,circle,12.166663,2022,PRC,DT CPU,0.014354499758725523,-0.13396845246159586
上海腾闪信息科技有限公司,0,circle,10.289226,2022,PRC,DT CPU,0.08796065676377587,0.033779853928250905
上海金王重池电子有限公司,0,circle,24.919945,2022,PRC,DT CPU,-0.12887267457465276,0.44750460138923315
上海金繁电子科技有限公司(duplicate),0,circle,12.695238,2022,PRC,DT CPU,-0.24968082782499182,0.2740194494854015
中国长城科技集团股份有限公司,0,circle,29.078564,2022,PRC,DT CPU,-0.37421302489736685,0.09987699039710526
保定市吉成科技开发有限公司,0,circle,17.441559,2022,PRC,DT CPU,-0.24854831989651102,0.09590242757908157
北京翰讯基业电子技术有限公司,0,circle,10.612713,2022,PRC,DT CPU,0.18886494170602083,0.11850499950310571
南京和瑟电子科技有限公司,1,circle,13.043435,2022,PRC,DT CPU,-0.3046898586136141,-0.13751713687021544
南京概盈科技,0,circle,10.289077,2022,PRC,DT CPU,-0.18018482330596722,0.4222262298453676
南宁鑫迈普电子科技有限公司,1,circle,11.554621,2022,PRC,DT CPU,-0.17400764983984676,-0.15003159466732083
南昌市沪祺实业有限公司,0,circle,11.679627,2022,PRC,DT CPU,-0.2342883494598191,0.3558827822487705
合肥市蜀山区泰瑞电子经营部,0,circle,11.820168,2022,PRC,DT CPU,-0.22400924728127677,0.017853026936720397
宁波怡通云硕电子商务有限公司,0,circle,13.595737,2022,PRC,DT CPU,-0.02938552674131927,-0.16723311756974898
山西至诚志远科技有限公司,1,circle,11.7470455,2022,PRC,DT CPU,-0.33504880739345194,-0.13383482858734816
广州市得丰隆发展有限公司,0,circle,14.576975,2022,PRC,DT CPU,0.07066133942262721,-0.08200309014326519
广州广之嘉电子科技有限公司,1,circle,14.648302,2022,PRC,DT CPU,-0.16457906455597718,-0.11998295767260245
广州视源电子科技有限公司,1,circle,21.704948,2022,PRC,DT CPU,-0.21067155261783843,0.4945764667049753
成都市西捷科技有限公司,0,circle,10.725369,2022,PRC,DT CPU,0.1612984912833361,0.048590355432482045
成都蜀码科技有限公司,0,circle,10.248889,2022,PRC,DT CPU,-0.23432385653789015,0.418106344169716
成都资誉科技有限公司,0,circle,10.914767,2022,PRC,DT CPU,0.11308683750040907,-0.004443302926842971
成都顺诚瑞兴科技有限公司,0,circle,13.997923,2022,PRC,DT CPU,-0.283803425165144,0.4083775875521567
无锡威特,0,circle,10.1108885,2022,PRC,DT CPU,-0.3265836511747448,0.3901023685703521
昆明同翔科技有限公司,0,circle,12.047546,2022,PRC,DT CPU,-0.28412264345962507,-0.008906289901899985
杭州二次颜科技有限公司,0,circle,16.229027,2022,PRC,DT CPU,-0.31965118448625873,0.23323696914785808
杭州众志成鑫科技有限公司,0,circle,10.698451,2022,PRC,DT CPU,0.06146184634087645,-0.10830067122061778
杭州冰特科技股份有限公司,0,circle,10.42096,2022,PRC,DT CPU,-0.3654714513860053,0.36267444913807667
武汉丙成科技有限公司,0,circle,10.069667,2022,PRC,DT CPU,-0.4028858417931143,0.33324730311972034
武汉名龙堂科技有限公司-ssd,0,circle,47.79538,2022,PRC,DT CPU,-0.432293080297444,0.29379512317374906
武汉宁美国度科技有限公司,0,circle,60.0,2022,PRC,DT CPU,-0.3067549422184762,0.3292037022195529
武汉市洪山区华众达电子经营部,0,circle,12.129438,2022,PRC,DT CPU,-0.32594011645259985,0.15531145538360583
武汉市洪山区新新众电子经营部,0,circle,10.33026,2022,PRC,DT CPU,-0.3173845019230266,0.05228845850770706
武汉市洪山区鑫泰铭电脑经营部,0,circle,24.886871,2022,PRC,DT CPU,-0.4241800979150967,0.15537786685397897
武汉市金楚恒鑫科技有限公司,0,circle,14.854654,2022,PRC,DT CPU,-0.3993677715535971,0.21782627412947286
武汉瑞达腾飞科技有限公司,0,circle,12.683077,2022,PRC,DT CPU,-0.024364689126972542,-0.11012950270653095
沈阳安佳美商贸有限公司,0,circle,11.648972,2022,PRC,DT CPU,-0.45463835155594495,0.25518130950135287
河北冀美电子科技有限公司,0,circle,11.335518,2022,PRC,DT CPU,-0.36869632726871027,0.2865040688812336
河南丽尼特商贸有限公司,0,circle,11.466126,2022,PRC,DT CPU,0.1382529369712128,0.08561184125802405
河南浩之骋电子科技有限公司,0,circle,12.250769,2022,PRC,DT CPU,0.13998618118366887,0.018770136837351493
泉州新裕星数码科技有限公司,0,circle,10.776171,2022,PRC,DT CPU,-0.47105617069572775,0.2140204472755444
济南数码世纪实业有限公司,0,circle,24.009686,2022,PRC,DT CPU,-0.4855553980458696,0.12581149368964115
济南鑫民信科技有限公司,1,circle,12.316411,2022,PRC,DT CPU,-0.2775233787462434,-0.11621725312764092
浩天金士博(北京)责任有限公司,0,circle,11.958761,2022,PRC,DT CPU,-0.22040639611922008,-0.18985070932283227
深圳云天畅想信息科技有限公司,0,circle,11.468246,2022,PRC,DT CPU,-0.48756185468455326,0.07941094059536491
深圳市卓志投资有限公司,0,circle,14.508179,2022,PRC,DT CPU,0.16371748142164452,0.11111455634388448
深圳市福田区赛格电子市场恒祥伟业经营部,0,circle,16.914425,2022,PRC,DT CPU,-0.4842405415920258,0.17109873604705805
湖南蓝威电脑有限公司,0,circle,12.487576,2022,PRC,DT CPU,-0.4529662393274337,-0.008732000203060817
湖南裕盛信息科技有限公司,0,circle,10.298528,2022,PRC,DT CPU,0.07418141264567116,0.002949908745805915
石家庄市新华区川大电脑商行,0,circle,11.093366,2022,PRC,DT CPU,-0.42862900025088024,-0.045033076222107754
贵阳贵兴,0,circle,10.211778,2022,PRC,DT CPU,-0.3948387305632759,0.014896751608534427
辽宁润德科技有限公司,0,circle,13.125954,2022,PRC,DT CPU,-0.47347116729019595,0.030389153689862815
重庆图迈信息技术有限公司,0,circle,11.832039,2022,PRC,DT CPU,-0.010368690010968275,-0.07883110313693711
长沙万亨电脑科技公司,0,circle,10.18458,2022,PRC,DT CPU,-0.3909279204941289,-0.06348461856773158
陕西泽润电子科技有限公司,1,circle,10.936528,2022,PRC,DT CPU,-0.20589161142250328,-0.14998079226556713
青岛永维悦达,0,circle,10.0631275,2022,PRC,DT CPU,-0.3473498287656794,-0.029534053839863232
青岛英瑞博科贸有限公司,0,circle,10.613669,2022,PRC,DT CPU,-0.4353057558387059,0.07412586354155427
EX-CHANNEL GROUP LIMITED,0,star,16.604488,2022,PRC,DT CPU,-0.22228503310737724,0.04878053831406573
"Daschip Information Technology (shanghai) Co., Ltd",0,circle,12.8084755,2022,PRC,DT CPU,-0.14857225126205909,-0.2149646243358747
"Guangzhou Gnhpc Computer Technology Co., Ltd.",0,circle,10.511371,2022,PRC,DT CPU,0.036637618338593914,-0.04037661408089204
"Han’s Smart Control Technology Co.,ltd.1",0,circle,11.21248,2022,PRC,DT CPU,-0.001786281942656375,0.21122169833304497
"Shenzhen Genew Intelligent Technology Co., Ltd.",0,circle,10.858284,2022,PRC,DT CPU,-0.23080925701510288,0.3225917129387971
"Shenzhen Konghui Intelligent Co.,ltd.",0,circle,17.986145,2022,PRC,DT CPU,-0.35696626602552817,0.28719507522672505
Shenzhen Polyhex Technology Company Limited,0,circle,12.621899,2022,PRC,DT CPU,-0.452515997767165,0.1974464320792587
"Shenzhen Zhiyuan Integration Technology Co.,Ltd",0,circle,30.65906,2022,PRC,DT CPU,-0.4951096553680244,0.07341679047509932
"Wuhan Oseasy Cloud Computing Co., Ltd",0,circle,14.142491,2022,PRC,DT CPU,-0.4755810419559694,-0.05635006913042128
北京联合伟世科技股份有限公司,0,circle,10.597211,2022,PRC,DT CPU,-0.39739397351740136,-0.16163968111470728
